"Coronavirus disease 2019 (COVID-19)
Situation Report – 97",,
"Data as received by WHO from national authorities by 10:00 CEST, 26 April 2020",,
,HIGHLIGHTS,"SITUATION IN NUMBERS
total (new cases in last 24 hours)"
•,Public health systems are coming under severe strain as the COVID-19 pandemic,
,continues. Countries must also continue to focus on other health emergencies and,Globally
,make progress against diseases such as malaria or poliomyelitis (polio). A new,2 804 796 confirmed (84 900)
,"analysis on malaria supports the call to minimize disruptions to malaria prevention
and treatment services during the COVID-19 pandemic. More information is","193 710 deaths (6006)
European Region"
,"available in the statement from the WHO Regional Office for Africa, the statement",1 341 851 confirmed (27 185)
,from the WHO Regional Office for the Americas and in details on the analysis.,122 218 deaths (2756)
•,The WHO Regional Office for the Americas urges countries to strengthen,"Region of the Americas
1 094 846 confirmed (47 338)"
,vaccination against seasonal influenza and measles to prevent respiratory illness,56 063 deaths (2960)
,and vaccine-preventable disease outbreaks during the COVID-19 pandemic. More,Eastern Mediterranean Region
,information is available here.,160 586 confirmed (5615)
,,6887 deaths (137)
•,The core protocol for therapeutics against COVID-19 has been published by the,Western Pacific Region
,WHO R&D Blueprint Working Group. More information is available here.,142 639 confirmed (1170)
,,5943 deaths (37)
•,The WHO Regional Director for Europe has emphasized the need to build,South-East Asia Region
,sustainable people-centred long-term care in the wake of COVID-19. More,43 846 confirmed (2773)
,information is available here.,1747 deaths (89)
,,African Region
•,The WHO Regional Office for Europe has published key considerations for the,20 316 confirmed (819)
,gradual easing of the lockdown restrictions introduced by many countries in,839 deaths (27)
,response to the spread of COVID-19 across the European Region. More information,WHO RISK ASSESSMENT
,is available here.,Global Level Very High
"Figure 1. Countries, territories or areas with reported confirmed cases of COVID-19, 26 April 2020",,

SURVEILLANCE,,,,,,
"Table 1. Countries, territories or areas with reported laboratory-confirmed COVID-19 cases and deaths, by WHO",,,,,,
region. * Data as of 26 April 2020,,,,,,
Reporting Country/,Total,New,Total,New,Transmission,Days since last
Territory/Area †,confirmed ‡,confirmed,deaths,deaths,classification §,reported case
,cases,cases,,,,
Western Pacific Region,,,,,,
China,84338,14,4642,0,Clusters of cases,0
Japan,13182,353,348,14,Clusters of cases,0
Singapore,12693,618,12,0,Clusters of cases,0
Republic of Korea,10728,10,242,2,Clusters of cases,0
Philippines,7294,102,494,17,Clusters of cases,0
Australia,6703,16,81,2,Clusters of cases,0
Malaysia,5742,51,98,2,Clusters of cases,0
New Zealand,1121,4,18,0,Clusters of cases,0
Viet Nam,270,0,0,0,Clusters of cases,1
Brunei Darussalam,138,0,1,0,Sporadic cases,6
Cambodia,122,0,0,0,Sporadic cases,14
Mongolia,37,1,0,0,Sporadic cases,0
"Lao People's
Democratic Republic",19,0,0,0,Sporadic cases,13
Fiji,18,0,0,0,Sporadic cases,5
Papua New Guinea,8,0,0,0,Sporadic cases,3
Territories **,,,,,,
Guam,137,1,5,0,Clusters of cases,0
French Polynesia,57,0,0,0,Sporadic cases,4
New Caledonia,18,0,0,0,Sporadic cases,23
"Northern Mariana
Islands
(Commonwealth of
the)",14,0,2,0,Pending,8
European Region,,,,,,
Spain,219764,0,22524,0,Pending,1
Italy,195351,2357,26384,415,"Community
transmission",0
Germany,154175,1737,5640,140,"Community
transmission",0
The United Kingdom,148381,4913,20319,813,"Community
transmission",0
France,122875,1537,22580,368,"Community
transmission",0
Turkey,107773,2861,2706,106,"Community
transmission",0
Russian Federation,74588,5966,681,66,Clusters of cases,0
Belgium,45325,1032,6917,238,"Community
transmission",0
,,,,,Community,
Netherlands,37190,655,4409,120,transmission,0

Switzerland,28978,383,1336,28,"Community
transmission",0
Portugal,23392,595,880,26,Pending,0
Ireland,18561,377,1063,234,Pending,0
Sweden,18177,610,2192,40,"Community
transmission",0
Israel,15398,370,199,5,Pending,0
Austria,15134,66,536,23,Pending,0
Poland,11273,381,524,30,Pending,0
Romania,10635,218,575,23,"Community
transmission",0
Belarus,9590,817,67,4,Clusters of cases,0
Ukraine,8617,492,209,8,"Community
transmission",0
Denmark,8445,235,418,15,Pending,0
Serbia,7779,296,151,7,Pending,0
Norway,7467,59,193,2,Pending,0
Czechia,7352,79,218,3,"Community
transmission",0
Finland,4475,80,186,9,Pending,0
Luxembourg,3711,16,85,0,Pending,0
Republic of Moldova,3304,194,94,7,Pending,0
Kazakhstan,2601,185,25,0,Pending,0
Greece,2506,16,130,0,Pending,0
Hungary,2500,57,272,10,Clusters of cases,0
Croatia,2016,7,54,3,"Community
transmission",0
Uzbekistan,1865,29,8,0,Clusters of cases,0
Iceland,1790,1,10,0,"Community
transmission",0
Armenia,1746,150,28,1,Clusters of cases,0
Estonia,1635,30,46,0,Pending,0
Azerbaijan,1617,25,21,0,Clusters of cases,0
"Bosnia and
Herzegovina",1485,57,56,2,"Community
transmission",0
Lithuania,1438,28,41,1,Pending,0
Slovenia,1388,15,81,1,"Community
transmission",0
Slovakia,1373,13,17,0,Clusters of cases,0
North Macedonia,1367,41,59,2,Clusters of cases,0
Bulgaria,1247,59,55,1,Pending,0
Cyprus,810,6,17,0,Clusters of cases,0
Latvia,804,20,12,0,Pending,0
Andorra,738,5,40,0,"Community
transmission",0
Albania,712,34,27,0,Clusters of cases,0
Kyrgyzstan,682,17,8,0,Pending,0
San Marino,513,0,40,0,"Community
transmission",1
Georgia,485,29,5,0,"Community
transmission",0

Malta,448,1,4,1,Pending,0
Montenegro,319,0,6,1,Clusters of cases,1
Liechtenstein,83,1,1,0,Pending,0
Monaco,68,0,1,0,Sporadic cases,12
Holy See,9,0,0,0,Sporadic cases,5
Territories **,,,,,,
Kosovo[1],731,28,20,1,"Community
transmission",0
Isle of Man,308,0,18,1,Pending,1
Jersey,278,2,19,0,Pending,0
Guernsey,245,0,11,1,"Community
transmission",1
Faroe Islands,187,0,0,0,Pending,2
Gibraltar,136,3,0,0,Clusters of cases,0
Greenland,11,0,0,0,Pending,20
South-East Asia Region,,,,,,
India,26496,1990,824,49,Clusters of cases,0
Indonesia,8607,396,720,31,"Community
transmission",0
Bangladesh,4998,309,140,9,Pending,0
Thailand,2922,15,51,0,Pending,0
Sri Lanka,460,40,7,0,Clusters of cases,0
Myanmar,146,2,5,0,Clusters of cases,0
Maldives,137,21,0,0,Clusters of cases,0
Nepal,49,0,0,0,Sporadic cases,1
Timor-Leste,24,0,0,0,Clusters of cases,2
Bhutan,7,0,0,0,Sporadic cases,3
Eastern Mediterranean Region,,,,,,
"Iran (Islamic Republic
of)",89328,1134,5650,76,"Community
transmission",0
Saudi Arabia,16299,1197,136,9,Clusters of cases,0
Pakistan,12723,783,269,16,Clusters of cases,0
United Arab Emirates,9813,532,71,7,Pending,0
Qatar,9358,833,10,0,Pending,0
Egypt,4319,227,307,13,Clusters of cases,0
Morocco,3897,139,159,1,Clusters of cases,0
Kuwait,2892,278,19,4,Clusters of cases,0
Bahrain,2589,71,8,0,Clusters of cases,0
Oman,1998,93,10,0,Clusters of cases,0
Iraq,1763,55,86,0,Clusters of cases,0
Afghanistan,1463,133,49,6,Clusters of cases,0
Djibouti,1008,9,2,0,Clusters of cases,0
Tunisia,939,17,38,0,"Community
transmission",0
Lebanon,704,8,24,2,Clusters of cases,0
Jordan,444,3,7,0,Clusters of cases,0
Somalia,390,62,18,2,Sporadic cases,0
Sudan,213,39,17,1,Sporadic cases,0
Libya,61,0,2,0,Clusters of cases,1

Syrian Arab Republic,42,0,3,0,"Community
transmission",4
Yemen,1,0,0,0,Pending,15
Territories **,,,,,,
"occupied Palestinian
territory",342,2,2,0,Clusters of cases,0
Region of the Americas,,,,,,
"United States of
America",899281,38509,46204,2151,"Community
transmission",0
Brazil,52995,3503,3670,357,"Community
transmission",0
Canada,44353,1614,2350,153,"Community
transmission",0
Ecuador,22719,0,576,0,"Community
transmission",1
Peru,21648,734,634,62,"Community
transmission",0
Mexico,12872,1239,1221,152,"Community
transmission",0
Chile,12858,552,181,7,"Community
transmission",0
Dominican Republic,5926,177,273,6,"Community
transmission",0
Panama,5338,172,154,8,"Community
transmission",0
Colombia,4881,320,225,10,"Community
transmission",0
