"Coronavirus disease 2019 (COVID-19)
Situation Report – 72",,
Data as reported by national authorities by 10:00 CET 1 April 2020,,
HIGHLIGHTS,,SITUATION IN NUMBERS
,,total (new) cases in last 24 hours
•,Three new countries/territories/areas reported cases of COVID-19 in the past,
,"24 hours: Botswana, Burundi, and Sierra Leone.",Globally
,,823 626 confirmed (72 736)
•,WHO has released a scientific brief on the off-label use of medicines for,40 598 deaths (4193)
,COVID-19. A number of medicines have been suggested as potential,Western Pacific Region
,"investigational therapies, many of which are now being or will soon be studied",106 422 confirmed (1554)
,"in clinical trials, including the SOLIDARITY trial co-sponsored by WHO and",3701 deaths (30)
,participating countries. More information can be found here.,European Region
,,464 212 confirmed (40 266)
•,WHO recognizes the importance of addressing the needs of refugees and,30 089 deaths (3395)
,migrants when preparing for or responding to the COVID-19 pandemic. WHO,South-East Asia Region
,European Region has released a guidance document to assist healthcare,5175 confirmed (960)
,working with refugees and migrants. More information can be found here.,195 deaths (29)
,,Eastern Mediterranean Region
•,"At a press briefing, yesterday, PAHO Director Dr. Carissa Etienne stressed that",54 281 confirmed (3932)
,countries of the Americas must act now to slow the spread of COVID-19. WHO,3115 deaths (161)
,"encourages countries to prepare hospitals and health facilities, protect their",Region of the Americas
,"health personnel, and decide what social distancing measures need to be",188 751 confirmed (25 737)
,"implemented and for how long, among other actions. Find more here.",3400 deaths (564)
•,Public health and social measures to slow or stop the spread of COVID-19,African Region4073 confirmed (287)
,must be implemented with the full engagement of all members of society.,91 deaths (14)
,WHO has described four levels of COVID-19 transmission with varying public,
,health and social measures depending on the local evolution of the COVID-19,"WHO RISK ASSESSMENT
Global Level Very High"
,"pandemic. For more details, please see ‘Subject in Focus’.",
"Figure 1. Countries, territories or areas with reported confirmed cases of COVID-19, 1 April 2020",,

SUBJECT IN FOCUS: Public Health and Social Measures for the COVID-19 Pandemic
The purpose of this note is to outline public health and social measures useful for slowing or stopping the spread of
"COVID-19 at national or community level. Guidance for case finding and management, personal and environmental"
"measures, travel measures, and mass gatherings is available on the WHO website available here."
"Public health and social measures are measures or actions by individuals, institutions, communities, local and"
national governments and international bodies to slow or stop the spread of COVID-19. These measures to reduce
"transmission of COVID-19 include individual and environmental measures, detecting and isolating cases, contact-"
"tracing and quarantine, social and physical distancing measures including for mass gatherings, international travel"
"measures, and vaccines and treatments. While vaccines and specific medications are not yet available for COVID-19,"
other public health and social measures play an essential role in reducing the number of infections and saving lives.
Social and physical distancing measures aim to slow the spread of disease by stopping chains of transmission of
COVID-19 and preventing new ones from appearing. These measures secure physical distance between people (of at
"least one metre), and reduce contact with contaminated surfaces, while encouraging and sustaining virtual social"
connection within families and communities. Measures for the general public include introducing flexible work
"arrangements such as teleworking, distance learning, reducing and avoiding crowding, closure of non-essential"
"facilities and services, shielding and protection for vulnerable groups, local or national movement restrictions and"
"staying-at home measures, and coordinated reorganization of health care and social services networks to protect"
hospitals. The measures are used in conjunction with individual protective measures against COVID-19 such as
frequent hand washing and cough etiquette.
All public health measures to stop disease spread can be balanced with adaptive strategies to encourage community
"resilience and social connection, protect incomes and secure the food supply. Countries should balance the possible"
benefits and negative consequences of each intervention and deploy strategies to encourage community
"engagement, gain trust and limit social or economic harm. There are many strategies that can support community"
"resilience and mental health, protect access to essential goods and services, and limit the economic impact of stay-"
"at-home measures where these are deemed necessary. For example, organizing work-sites to ensure physical"
"distance between persons, such as staggering shifts over time, or converting on-site service to home delivery may"
help to keep more businesses open. Tele-working and tele-schooling strategies in different contexts demonstrate
innovation and the role of technology in supporting business continuity and sustaining social connection within
"families and communities. In general, implementation of distancing measures should also aim to sustain personal"
"and professional community connections by virtual means and technology, including widely accessible means such"
as radio and mobile phones.
"Alongside all these measures remains there is the critical to test all suspected cases of COVID-19 wherever possible,"
"promptly isolate cases, trace contacts to the widest extent possible, and ensure quarantine of contacts for the"
"duration of the incubation period. This goes for any context or level of spread of the pandemic in a country, in order"
to deepen the benefits of social measures. Social measures should make the task of contact tracing much easier as
the number of contacts rapidly dwindles and eventually the number of cases declines as well. As social measures are
"lifted, it is essential to continue to strengthen case-finding, isolation for COVID-19 cases and quarantine of contacts,"
in order to respond to resurgent or imported cases. Coordinated reorganization of health and social services is
"essential to assess and test persons rapidly, treat patients effectively, and protect hospitals and health personnel."
WHO has described four levels of COVID-19 transmission. These are countries or local areas with: 1. No cases
"reported. 2. Sporadic cases. 3. Clusters of cases (grouped in place and time), or 4. Community transmission."
Countries are putting in place a range of public health and social measures in different combinations and at varying
times in the local evolution of the COVID-19 pandemic. The alignment of public health measures to levels of
transmission in a community is not fixed in stone. Countries may wish to specify which measures are to be taken at
"each level and review the situation regularly. A package of measures may be applied at local, regional or national"
"level and adjusted as needed, considering aspects such as culture, living environments, terrain and access to needed"
resources. Essential services should remain operational and governments should put in place social and economic
"policies to limit the longer term economic impact, support community resilience and enable rapid recovery. Most"
"importantly, the ultimate aim is to ‘walk back’ community transmission to clusters, sporadic cases, and down to no"
"cases at all, and to begin gradually lifting social measures as soon as it is safe to do so. Guidance for lifting measures"

is being developed.
"To be effective, public health measures must be implemented with the full engagement of all members of society,"
"including communities and professional groups. All measures should be accompanied with clear, accessible and"
regular risk communication to explain the response strategy and enable people to make informed decisions to
protect themselves and help achieve the public health goal of ending the outbreak.
A table summarizing public health and social measures to support control of COVID-19 will be available shortly at
www.who.int/epi-win.

SURVEILLANCE,,,,,,
"Table 1. Countries, territories or areas with reported laboratory-confirmed COVID-19 cases and deaths. Data as of",,,,,,
*,,,,,,
1 April 2020,,,,,,
Reporting Country/,Total,Total,Total,Total,Transmission,Days since last
Territory/Area †,"confirmed
‡",confirmed,deaths,new,classification §,reported case
,cases,new cases,,deaths,,
Western Pacific Region,,,,,,
China,82631,86,3321,7,Local transmission,0
Republic of Korea,9887,101,165,3,Local transmission,0
Australia,4707,348,20,2,Local transmission,0
Malaysia,2766,140,43,6,Local transmission,0
Japan,2178,225,57,1,Local transmission,0
Philippines,2084,538,88,10,Local transmission,0
Singapore,926,47,3,0,Local transmission,0
New Zealand,647,47,1,0,Local transmission,0
Viet Nam,207,4,0,0,Local transmission,0
Brunei Darussalam,129,2,1,0,Local transmission,0
Cambodia,109,2,0,0,Local transmission,0
Mongolia,12,0,0,0,Imported cases only,4
"Lao People's
Democratic Republic",9,1,0,0,Local transmission,0
Fiji,5,0,0,0,Local transmission,6
Papua New Guinea,1,0,0,0,Imported cases only,11
Territories **,,,,,,
Guam,69,11,2,1,Local transmission,0
French Polynesia,37,1,0,0,Local transmission,0
New Caledonia,16,1,0,0,Local transmission,0
Northern Mariana,2,0,0,0,Under investigation,3
Islands,,,,,,
(Commonwealth of,,,,,,
the),,,,,,
European Region,,,,,,
Italy,105792,4053,12430,839,Local transmission,0
Spain,94417,9222,8189,849,Local transmission,0
Germany,67366,5453,732,149,Local transmission,0
France,51477,7500,3514,497,Local transmission,0
The United Kingdom,25154,3009,1789,381,Local transmission,0
Switzerland,16108,696,373,78,Local transmission,0
Turkey,13531,2704,214,46,Local transmission,0
Belgium,12775,876,705,192,Local transmission,0
Netherlands,12595,845,1039,175,Local transmission,0
Austria,10182,564,128,20,Local transmission,0
Portugal,7443,1035,160,20,Local transmission,0
Israel,5129,298,21,4,Local transmission,0
Norway,4447,221,28,2,Local transmission,0
Sweden,4435,407,180,34,Local transmission,0
Czechia,3308,306,31,7,Local transmission,0

Ireland,3235,325,71,17,Local transmission,0
Denmark,2860,283,90,13,Local transmission,0
Russian Federation,2337,500,17,8,Local transmission,0
Poland,2311,256,33,2,Local transmission,0
Romania,2245,293,69,25,Local transmission,0
Luxembourg,2178,190,23,1,Local transmission,0
Finland,1384,71,17,4,Local transmission,0
Greece,1314,102,49,6,Local transmission,0
Iceland,1135,49,2,0,Local transmission,0
Serbia,900,115,13,0,Local transmission,0
Croatia,867,77,6,0,Local transmission,0
Slovenia,814,51,13,2,Local transmission,0
Estonia,745,30,4,1,Local transmission,0
Ukraine,669,120,17,4,Local transmission,0
Lithuania,533,49,7,0,Local transmission,0
Armenia,532,50,3,0,Local transmission,0
Hungary,492,45,16,1,Local transmission,0
"Bosnia and
Herzegovina",413,54,12,3,Local transmission,0
Bulgaria,399,40,8,0,Local transmission,0
Latvia,398,22,0,0,Local transmission,0
Andorra,376,6,12,4,Local transmission,0
Slovakia,363,27,0,0,Local transmission,0
Republic of Moldova,353,55,3,1,Local transmission,0
Kazakhstan,348,36,2,1,Local transmission,0
North Macedonia,329,44,9,2,Local transmission,0
Azerbaijan,298,25,5,1,Local transmission,0
Cyprus,262,32,8,1,Local transmission,0
Albania,243,20,13,2,Local transmission,0
San Marino,236,6,26,1,Local transmission,0
Uzbekistan,173,24,2,0,Local transmission,0
Malta,167,11,0,0,Local transmission,0
Belarus,152,0,0,0,Local transmission,2
Georgia,115,12,0,0,Local transmission,0
Kyrgyzstan,111,4,0,0,Local transmission,0
Montenegro,105,14,2,1,Local transmission,0
Liechtenstein,68,4,0,0,Under investigation,0
Monaco,52,3,0,0,Local transmission,0
Holy See,6,0,0,0,Under investigation,2
Territories **,,,,,,
Faroe Islands,169,1,0,0,Local transmission,0
Kosovo [1],112,6,1,0,Local transmission,0
Gibraltar,69,0,0,0,Local transmission,1
Jersey,63,0,2,0,Local transmission,2
Guernsey,60,15,1,1,Local transmission,0
Isle of Man,52,10,0,0,Local transmission,0
Greenland,10,0,0,0,Under investigation,3
South-East Asia Region,,,,,,
Thailand,1771,247,12,3,Local transmission,0
India,1636,565,38,9,Local transmission,0

Indonesia,1528,114,136,14,Local transmission,0
Sri Lanka,143,23,2,1,Local transmission,0
Bangladesh,54,5,6,1,Local transmission,0
Maldives,18,1,0,0,Local transmission,0
Myanmar,15,5,1,1,Local transmission,0
Nepal,5,0,0,0,Imported cases only,3
Bhutan,4,0,0,0,Imported cases only,2
Timor-Leste,1,0,0,0,Under investigation,11
Eastern Mediterranean Region,,,,,,
"Iran (Islamic Republic
of)",44606,3111,2898,141,Local transmission,0
Pakistan,2039,174,26,1,Local transmission,0
Saudi Arabia,1563,110,10,2,Local transmission,0
Qatar,781,88,2,1,Local transmission,0
Egypt,710,54,46,5,Local transmission,0
Iraq,694,64,50,4,Local transmission,0
United Arab Emirates,664,53,6,1,Local transmission,0
Morocco,638,64,36,3,Local transmission,0
Bahrain,567,52,4,0,Local transmission,0
Lebanon,463,17,12,1,Local transmission,0
Tunisia,394,32,10,1,Local transmission,0
Kuwait,289,23,0,0,Local transmission,0
Jordan,274,6,5,0,Local transmission,0
Oman,210,31,1,1,Local transmission,0
Afghanistan,192,26,4,0,Local transmission,0
Djibouti,31,5,0,0,Local transmission,0
Libya,10,2,0,0,Local transmission,0
Syrian Arab Republic,10,0,2,0,Imported cases only,1
Sudan,7,1,2,0,Imported cases only,0
Somalia,5,2,0,0,Imported cases only,0
Territories **,,,,,,
"occupied Palestinian
territory",134,17,1,0,Local transmission,0
Region of the Americas,,,,,,
"United States of
America",163199,22559,2850,452,Local transmission,0
