"Coronavirus disease 2019 (COVID-19)
Situation Report – 29",,,,,,,
Data as reported by 18 February 2020*,,,,,,,
HIGHLIGHTS,,,,,,SITUATION IN NUMBERS,
,,,,,,total and new cases in last 24,
•,No new countries reported cases of COVID-19 in the past 24 hours.,,,,,hours,
•,WHO Operations Support and Logistics (OSL) continues to gather and assess,,,,,Globally,
,the needs of Member States for critical items such as Personal Protective,,,,,73 332 confirmed (1901 new),
,"Equipment (PPE). On 14 February, OSL started the dispatch of laboratory",,,,,,
,"COVID-19 testing kits for 56 countries. As of 17 February, 37 shipments have",,,,,China,
,been dispatched to 34 countries and three regional offices.,,,,,72 528 confirmed (1891 new),
,,,,,,1870 deaths (98 new) †,
•,Health care workers are on the front line of the response to the COVID-19,,,,,,
,outbreak. WHO has developed guidance on,,the,"Rights, Roles",and,Outside of China,
,"Responsibilities Of Health Workers,",Including,Key,Considerations,For,804 confirmed (10 new),
,Occupational Safety And Health.,,,,,25 countries,
,,,,,,3 deaths,
,,,,,,WHO RISK ASSESSMENT,
,,,,,,China,Very High
,,,,,,"Regional Level
Global Level","High
High"
"Figure 1. Countries, territories or areas with reported confirmed cases of COVID-19, 18 February 2020",,,,,,,
*The situation report includes information provided by national authorities as of 10 AM Central European Time,,,,,,,
†As reported by China,,,,,,,

TECHNICAL FOCUS: Operations Support and Logistics
WHO Operations Support and Logistics (OSL) continues to gather and assess the needs of Member States for critical
items such as personal protective equipment (PPE). The country- level perspective is aggregated to obtain a global
view on the overall demand for PPE necessary for frontline healthcare workers. Due to the growing demand and
"consumption of PPE, OSL is collaborating with WHO disease specialists to develop and disseminate a guiding document"
on the rational use of PPE.
"In the meantime, OSL continues to accelerate the work of the Pandemic Supply Chain Network (PSCN), which includes"
"manufacturers of medical products and medicines, medical distributors, and logistics providers."
"Since the activation of the PSCN, the market for PPE continues to experience unprecedented demand. Government"
export restrictions have continued to limit the supply of products across borders. The PSCN is continuously exploring
options with its stakeholders to alleviate the demand and increase the supply to ensure access to PPE for those
countries most vulnerable and most in need. This includes working with WHO technical specialists to advocate via the
"PSCN on the proper use of PPE, understanding the potential for manufacturing expansion outside China (a major"
"source of crucial commodities), and working with stakeholders to support the prioritization of PPE for frontline"
healthcare workers. The PSCN will also prepare for any bottlenecks in the market for other supplies as listed in the
Disease Commodity Package.
"On 14 February, OSL started the dispatch of COVID-19 laboratory testing kits for 56 countries. As of 17 February, 37"
shipments have been dispatched to 34 countries and three regional offices.
The WHO global supply team had already dispatched 28 PPE shipments totalling more than 12 000 kg to priority
"countries in the Western Pacific, South-East Asia and African regions. Another 24 shipments are being processed this"
week to cover other priority countries.
"With the technical support of the WHO Infection Prevention & Control (IPC) team, OSL continues to update the Disease"
Commodity Package (DCP) for COVID-19. This document provides the technical guidance and specifications on the
critical supplies necessary to fight COVID-19. Responding organizations and countries preparing and responding to
"COVID-19 are able to use the DCP to secure the correct supplies in the areas of surveillance, prevention and control,"
and case management.

SURVEILLANCE,,,,,,
"Table 1. Confirmed and suspected cases of COVID-19 acute respiratory disease reported by provinces, regions and",,,,,,
"cities in China, 18 February 2020",,,,,,
Province/,,,Daily,,Cumulative,
,Population,,,,,
"Region/
City","(10,000s)","Confirmed
cases*","Suspected
cases",Deaths,Confirmed,Deaths
Hubei,5917,1807,788,93,59989,1789
Guangdong,11346,6,0,0,1328,4
Henan,9605,11,102,3,1257,19
Zhejiang,5737,1,15,0,1172,0
Hunan,6899,1,15,1,1007,4
Anhui,6324,9,7,0,982,6
Jiangxi,4648,3,0,0,933,1
Jiangsu,8051,3,4,0,629,0
Chongqing,3102,2,50,0,553,5
Shandong,10047,2,17,0,543,2
Sichuan,8341,13,28,0,508,3
Heilongjiang,3773,7,32,0,464,11
Beijing,2154,6,49,0,387,4
Shanghai,2424,2,65,0,333,1
Hebei,7556,1,1,1,302,4
Fujian,3941,2,2,0,292,0
Guangxi,4926,4,21,0,242,2
Shaanxi,3864,0,22,0,240,0
Yunnan,4830,1,18,0,172,0
Hainan,934,1,22,0,163,4
Guizhou,3600,0,2,0,146,1
Shanxi,3718,1,6,0,130,0
Tianjin,1560,1,83,0,125,3
Liaoning,4359,0,64,0,121,1
Gansu,2637,0,0,0,91,2
Jilin,2704,0,14,0,89,1
Xinjiang,2487,1,1,0,76,1
Inner Mongolia,2534,1,0,0,73,0
Ningxia,688,0,4,0,70,0
Hong Kong SAR,745,3,0,0,60,1
Taipei and environs,2359,2,0,0,22,1
Qinghai,603,0,0,0,18,0
Macao SAR,66,0,0,0,10,0
Xizang,344,0,0,0,1,0
Total,142823,1891,1432,98,72528,1870
"* ‘Confirmed’ cases include both laboratory confirmed and clinically diagnosed cases (currently only applicable to Hubei province, China)",,,,,,

"Table 2. Countries, territories or areas outside China with reported laboratory-confirmed COVID-19 cases and",,,,,,
deaths. Data as of 18 February 2020,,,,,,
,,,"Total
cases with","Total cases with Total cases with
possible or site of",,
,,Confirmed*,travel,confirmed,transmission,Total deaths
WHO Region,Country/Territory/Area,,,,,
,,cases (new),history to,transmission,under,(new)
,,,"China
(new)","outside of China†
(new)","investigation
(new)",
,Singapore,77 (2),23 (1),53 (1),1 (0),0 (0)
,Japan,65 (6),26 (0),39 (6),0 (0),1 (0)
,Republic of Korea,31 (1),13 (0),15 ‡ (1),3 (0),0 (0)
Western Pacific Region,Malaysia,22 (0),17 (0),4 § (0),1 (0),0 (0)
,Viet Nam,16 (0),8 (0),8 (0),0 (0),0 (0)
,Australia,15 (0),12 (0),3 (0),0 (0),0 (0)
,Philippines,3 (0),3 (0),0 (0),0 (0),1 (0)
,Cambodia,1 (0),1 (0),0 (0),0 (0),0 (0)
,Thailand,35 (0),23 (0),7 (0),5 (0),0 (0)
,India,3 (0),3 (0),0 (0),0 (0),0 (0)
South-East Asia Region,Nepal,1 (0),1 (0),0 (0),0 (0),0 (0)
