"Coronavirus disease 2019 (COVID-19)
Situation Report – 36",,,,,,,,,,,,
Data as reported by 10AM CET 25 February 2020*,,,,,,,,,,,,
HIGHLIGHTS,,,,,,,,,,,SITUATION IN NUMBERS,
,,,,,,,,,,,total and new cases in last 24,
•,"Four new Member States (Afghanistan, Bahrain, Iraq, and Oman) reported",,,,,,,,,,hours,
,cases of COVID-19 in the past 24 hours.,,,,,,,,,,,
,,,,,,,,,,,Globally,
•,"For healthcare workers and public health professionals, WHO has an online",,,,,,,,,,80 239 confirmed (908 new),
,course titled Infection Prevention and Control (IPC) for Novel Coronavirus,,,,,,,,,,,
,,,,,,,,,,,China,
,(COVID-19).,You,can,access,the,course,through,the,following,link:,,
,,,,,,,,,,,77 780 confirmed (518 new),
,https://openwho.org/courses/COVID-19-IPC-EN.,,,,,,This,course,provides,,,
,,,,,,,,,,,2666 deaths (71 new),
,information on what facilities should be doing to prepare to respond to a case,,,,,,,,,,,
,of an emerging respiratory virus such as the novel coronavirus.,,,,,,,,,,,
,,,,,,,,,,,Outside of China,
,,,,,,,,,,,2459 confirmed (390 new),
•,The WHO-China joint mission concluded on 24 February. The team has made,,,,,,,,,,33 countries (4 new),
,"a range of findings about the transmissibility of the virus, the severity of",,,,,,,,,,34 deaths (11 new),
,disease and the impact of the measures taken. Please see here for more,,,,,,,,,,,
,information regarding the findings of the mission.,,,,,,,,,,WHO RISK ASSESSMENT,
•,A joint WHO and European Centre for Disease Prevention and Control (ECDC),,,,,,,,,,China,Very High
,mission arrived in Italy on 24 February to support Italian authorities on the,,,,,,,,,,Regional Level,High
,COVID-19 situation. More information can be found here.,,,,,,,,,,Global Level,High
"Figure 1. Countries, territories or areas with reported confirmed cases of COVID-19, 25 February 2020",,,,,,,,,,,,

SURVEILLANCE,,,,,,
"Table 1. Confirmed and suspected cases of COVID-19 acute respiratory disease reported by provinces, regions and",,,,,,
"cities in China, 25 February 2020",,,,,,
Province/,,,Daily,,Cumulative,
,Population,,,,,
"Region/
City","(10,000s)","Confirmed
cases","Suspected
cases",Deaths,Confirmed,Deaths
Hubei,5917,499,373,68,64786,2563
Guangdong,11346,2,0,1,1347,7
Henan,9605,0,5,0,1271,19
Zhejiang,5737,0,1,0,1205,1
Hunan,6899,0,1,0,1016,4
Anhui,6324,0,0,0,989,6
Jiangxi,4648,0,0,0,934,1
Shandong,10047,0,0,2,755,6
Jiangsu,8051,0,0,0,631,0
Chongqing,3102,1,13,0,576,6
Sichuan,8341,2,7,0,529,3
Heilongjiang,3773,0,0,0,480,12
Beijing,2154,1,18,0,400,4
Shanghai,2424,0,30,0,335,3
Hebei,7556,0,0,0,311,6
Fujian,3941,1,0,0,294,1
Guangxi,4926,1,3,0,252,2
Shaanxi,3864,0,0,0,245,1
Yunnan,4830,0,9,0,174,2
Hainan,934,0,9,0,168,5
Guizhou,3600,0,0,0,146,2
Tianjin,1560,0,38,0,135,3
Shanxi,3718,1,0,0,133,0
Liaoning,4359,0,9,0,121,1
Jilin,2704,0,14,0,93,1
Gansu,2637,0,0,0,91,2
Hong Kong SAR,745,7,0,0,81,2
Xinjiang,2487,0,0,0,76,2
Inner Mongolia,2534,0,0,0,75,0
Ningxia,688,0,0,0,71,0
Taipei and environs,2359,3,0,0,31,1
Qinghai,603,0,0,0,18,0
Macao SAR,66,0,0,0,10,0
Xizang,344,0,0,0,1,0
Total,142823,518,530,71,77780,2666

"Table 2. Countries, territories or areas outside China with reported laboratory-confirmed COVID-19 cases and",,,,,,
deaths. Data as of 25 February 2020,,,,,,
,,"Likely place of exposure ‡
Outside In",,,Total cases with site of,Total
Country/Territory/Area,Confirmed†,China,reporting,reporting,transmission under,deaths
,cases (new),(new),"country and
outside
China (new)","country
(new)",investigation (new),(new)
Western Pacific Region,,,,,,
